Function Name,Description
PERMUT,PERMUT: Statistical:Returns the number of permutations for a given number of objects
PERMUTATIONA,PERMUTATIONA: Statistical:Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects
PHI,PHI: Statistical:Returns the value of the density function for a standard normal distribution
PHONETIC,PHONETIC: Text:Extracts the phonetic (furigana) characters from a text string
PI,PI: Math and trigonometry:Returns the value of pi
PIVOTBY,"PIVOTBY: Lookup and reference:Helps a user group, aggregate, sort, and filter data based on the row and column fields that you specify"
(Microsoft 365),"(Microsoft 365): Lookup and reference:Helps a user group, aggregate, sort, and filter data based on the row and column fields that you specify"
PMT,PMT: Financial:Returns the periodic payment for an annuity
POISSON.DIST,POISSON.DIST: Statistical:Returns the Poisson distribution
POISSON,POISSON: Compatibility:Returns the Poisson distribution
POWER,POWER: Math and trigonometry:Returns the result of a number raised to a power
PPMT,PPMT: Financial:Returns the payment on the principal for an investment for a given period
PRICE,PRICE: Financial:Returns the price per $100 face value of a security that pays periodic interest
PRICEDISC,PRICEDISC: Financial:Returns the price per $100 face value of a discounted security
PRICEMAT,PRICEMAT: Financial:Returns the price per $100 face value of a security that pays interest at maturity
PROB,PROB: Statistical:Returns the probability that values in a range are between two limits
PRODUCT,PRODUCT: Math and trigonometry:Multiplies its arguments
PROPER,PROPER: Text:Capitalizes the first letter in each word of a text value
PV,PV: Financial:Returns the present value of an investment
QUARTILE,QUARTILE: Compatibility:Returns the quartile of a data set
QUARTILE.EXC,"QUARTILE.EXC: Statistical:Returns the quartile of the data set, based on percentile values from 0..1, exclusive"
QUARTILE.INC,QUARTILE.INC: Statistical:Returns the quartile of a data set
QUOTIENT,QUOTIENT: Math and trigonometry:Returns the integer portion of a division
RADIANS,RADIANS: Math and trigonometry:Converts degrees to radians
RAND,RAND: Math and trigonometry:Returns a random number between 0 and 1
RANDARRAY,"RANDARRAY: Math and trigonometry:Returns an array of random numbers between 0 and 1. However, you can specify the number of rows and columns to fill, minimum and maximum values, and whether to return whole numbers or decimal values."
RANDBETWEEN,RANDBETWEEN: Math and trigonometry:Returns a random number between the numbers you specify
RANK.AVG,RANK.AVG: Statistical:Returns the rank of a number in a list of numbers
RANK.EQ,RANK.EQ: Statistical:Returns the rank of a number in a list of numbers
RANK,RANK: Compatibility:Returns the rank of a number in a list of numbers
RATE,RATE: Financial:Returns the interest rate per period of an annuity
RECEIVED,RECEIVED: Financial:Returns the amount received at maturity for a fully invested security
REDUCE,REDUCE: Logical:Reduces an array to an accumulated value by applying a LAMBDA to each value and returning the total value in the accumulator
REGEXEXTRACT,REGEXEXTRACT: Text:Extracts strings within the provided text that matches the pattern
(Microsoft 365),(Microsoft 365): Text:Extracts strings within the provided text that matches the pattern
REGEXREPLACE,REGEXREPLACE: Text:Replaces strings within the provided text that matches the pattern with replacement
(Microsoft 365),(Microsoft 365): Text:Replaces strings within the provided text that matches the pattern with replacement
REGEXTEST,REGEXTEST: Text:Determines whether any part of text matches the pattern
(Microsoft 365),(Microsoft 365): Text:Determines whether any part of text matches the pattern
REGISTER.ID,REGISTER.ID: Add-in and Automation:Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered
REPLACE,REPLACE: Text:Replaces characters within text
REPLACEB,REPLACEB: Text:Replaces characters within text
REPT,REPT: Text:Repeats text a given number of times
RIGHT,RIGHT: Text:Returns the rightmost characters from a text value
RIGHTB,RIGHTB: Text:Returns the rightmost characters from a text value
ROMAN,"ROMAN: Math and trigonometry:Converts an arabic numeral to roman, as text"
ROUND,ROUND: Math and trigonometry:Rounds a number to a specified number of digits
ROUNDDOWN,"ROUNDDOWN: Math and trigonometry:Rounds a number down, toward zero"
ROUNDUP,"ROUNDUP: Math and trigonometry:Rounds a number up, away from zero"
ROW,ROW: Lookup and reference:Returns the row number of a reference
ROWS,ROWS: Lookup and reference:Returns the number of rows in a reference
RRI,RRI: Financial:Returns an equivalent interest rate for the growth of an investment
RSQ,RSQ: Statistical:Returns the square of the Pearson product moment correlation coefficient
RTD,RTD: Lookup and reference:Retrieves real-time data from a program that supports COM automation
SCAN,SCAN: Logical:Scans an array by applying a LAMBDA to each value and returns an array that has each intermediate value
SEARCH,SEARCH: Text:Finds one text value within another (not case-sensitive)
SEARCHB,SEARCHB: Text:Finds one text value within another (not case-sensitive)
SEC,SEC: Math and trigonometry:Returns the secant of an angle
SECH,SECH: Math and trigonometry:Returns the hyperbolic secant of an angle
SECOND,SECOND: Date and time:Converts a serial number to a second
SEQUENCE,"SEQUENCE: Math and trigonometry:Generates a list of sequential numbers in an array, such as 1, 2, 3, 4"
SERIESSUM,SERIESSUM: Math and trigonometry:Returns the sum of a power series based on the formula
SHEET,SHEET: Information:Returns the sheet number of the referenced sheet
SHEETS,SHEETS: Information:Returns the number of sheets in a reference
SIGN,SIGN: Math and trigonometry:Returns the sign of a number
SIN,SIN: Math and trigonometry:Returns the sine of the given angle
SINH,SINH: Math and trigonometry:Returns the hyperbolic sine of a number
SKEW,SKEW: Statistical:Returns the skewness of a distribution
SKEW.P,SKEW.P: Statistical:Returns the skewness of a distribution based on a population: a characterization of the degree of asymmetry of a distribution around its mean
SLN,SLN: Financial:Returns the straight-line depreciation of an asset for one period
SLOPE,SLOPE: Statistical:Returns the slope of the linear regression line
SMALL,SMALL: Statistical:Returns the k-th smallest value in a data set
SORT,SORT: Lookup and reference:Sorts the contents of a range or array
SORTBY,SORTBY: Lookup and reference:Sorts the contents of a range or array based on the values in a corresponding range or array
SQRT,SQRT: Math and trigonometry:Returns a positive square root
SQRTPI,SQRTPI: Math and trigonometry:Returns the square root of (number * pi)
STANDARDIZE,STANDARDIZE: Statistical:Returns a normalized value
STDEV,STDEV: Compatibility:Estimates standard deviation based on a sample
STDEV.P,STDEV.P: Statistical:Calculates standard deviation based on the entire population
STDEV.S,STDEV.S: Statistical:Estimates standard deviation based on a sample
STDEVA,"STDEVA: Statistical:Estimates standard deviation based on a sample, including numbers, text, and logical values"
STDEVP,STDEVP: Compatibility:Calculates standard deviation based on the entire population
STDEVPA,"STDEVPA: Statistical:Calculates standard deviation based on the entire population, including numbers, text, and logical values"
STEYX,STEYX: Statistical:Returns the standard error of the predicted y-value for each x in the regression
STOCKHISTORY,STOCKHISTORY: Information:Retrieves historical data about a financial instrument and loads it as an array
SUBSTITUTE,SUBSTITUTE: Text:Substitutes new text for old text in a text string
SUBTOTAL,SUBTOTAL: Math and trigonometry:Returns a subtotal in a list or database
SUM,SUM: Math and trigonometry:Adds its arguments
SUMIF,SUMIF: Math and trigonometry:Adds the cells specified by a given criteria
SUMIFS,SUMIFS: Math and trigonometry:Adds the cells in a range that meet multiple criteria
SUMPRODUCT,SUMPRODUCT: Math and trigonometry:Returns the sum of the products of corresponding array components
SUMSQ,SUMSQ: Math and trigonometry:Returns the sum of the squares of the arguments
SUMX2MY2,SUMX2MY2: Math and trigonometry:Returns the sum of the difference of squares of corresponding values in two arrays
SUMX2PY2,SUMX2PY2: Math and trigonometry:Returns the sum of the sum of squares of corresponding values in two arrays
SUMXMY2,SUMXMY2: Math and trigonometry:Returns the sum of squares of differences of corresponding values in two arrays
SWITCH,"SWITCH: Logical:Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned."
SYD,SYD: Financial:Returns the sum-of-years' digits depreciation of an asset for a specified period
T,T: Text:Converts its arguments to text
TAN,TAN: Math and trigonometry:Returns the tangent of a number
TANH,TANH: Math and trigonometry:Returns the hyperbolic tangent of a number
TAKE,TAKE: Lookup and reference:Returns a specified number of contiguous rows or columns from the start or end of an array
TBILLEQ,TBILLEQ: Financial:Returns the bond-equivalent yield for a Treasury bill
TBILLPRICE,TBILLPRICE: Financial:Returns the price per $100 face value for a Treasury bill
TBILLYIELD,TBILLYIELD: Financial:Returns the yield for a Treasury bill
T.DIST,T.DIST: Statistical:Returns the Percentage Points (probability) for the Student t-distribution
T.DIST.2T,T.DIST.2T: Statistical:Returns the Percentage Points (probability) for the Student t-distribution
T.DIST.RT,T.DIST.RT: Statistical:Returns the Student's t-distribution
TDIST,TDIST: Compatibility:Returns the Student's t-distribution
TEXT,TEXT: Text:Formats a number and converts it to text
TEXTAFTER,TEXTAFTER: Text:Returns text that occurs after given character or string
TEXTBEFORE,TEXTBEFORE: Text:Returns text that occurs before a given character or string
TEXTJOIN,TEXTJOIN: Text:Combines the text from multiple ranges and/or strings
TEXTSPLIT,TEXTSPLIT: Text:Splits text strings by using column and row delimiters
TIME,TIME: Date and time:Returns the serial number of a particular time
TIMEVALUE,TIMEVALUE: Date and time:Converts a time in the form of text to a serial number
T.INV,T.INV: Statistical:Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom
T.INV.2T,T.INV.2T: Statistical:Returns the inverse of the Student's t-distribution
TINV,TINV: Compatibility:Returns the inverse of the Student's t-distribution
TOCOL,TOCOL: Lookup and reference:Returns the array in a single column
TOROW,TOROW: Lookup and reference:Returns the array in a single row
TODAY,TODAY: Date and time:Returns the serial number of today's date
TRANSLATE,TRANSLATE: Text:Translates a text from one language to another
(Microsoft 365),(Microsoft 365): Text:Translates a text from one language to another
TRANSPOSE,TRANSPOSE: Lookup and reference:Returns the transpose of an array
TREND,TREND: Statistical:Returns values along a linear trend
TRIM,TRIM: Text:Removes spaces from text
TRIMMEAN,TRIMMEAN: Statistical:Returns the mean of the interior of a data set
TRIMRANGE,"TRIMRANGE: Lookup and reference:Scans in from the edges of a range or array until it finds a non-blank cell (or value), it then excludes those blank rows or columns"
(Microsoft 365),"(Microsoft 365): Lookup and reference:Scans in from the edges of a range or array until it finds a non-blank cell (or value), it then excludes those blank rows or columns"
TRUE,TRUE: Logical:Returns the logical value TRUE
TRUNC,TRUNC: Math and trigonometry:Truncates a number to an integer
T.TEST,T.TEST: Statistical:Returns the probability associated with a Student's t-test
TTEST,TTEST: Compatibility:Returns the probability associated with a Student's t-test
TYPE,TYPE: Information:Returns a number indicating the data type of a value
UNICHAR,UNICHAR: Text:Returns the Unicode character that is references by the given numeric value
UNICODE,UNICODE: Text:Returns the number (code point) that corresponds to the first character of the text
UNIQUE,UNIQUE: Lookup and reference:Returns a list of unique values in a list or range
UPPER,UPPER: Text:Converts text to uppercase
VALUE,VALUE: Text:Converts a text argument to a number
VALUETOTEXT,VALUETOTEXT: Text:Returns text from any specified value
VAR,VAR: Compatibility:Estimates variance based on a sample
VAR.P,VAR.P: Statistical:Calculates variance based on the entire population
VAR.S,VAR.S: Statistical:Estimates variance based on a sample
VARA,"VARA: Statistical:Estimates variance based on a sample, including numbers, text, and logical values"
VARP,VARP: Compatibility:Calculates variance based on the entire population
VARPA,"VARPA: Statistical:Calculates variance based on the entire population, including numbers, text, and logical values"
VDB,VDB: Financial:Returns the depreciation of an asset for a specified or partial period by using a declining balance method
VLOOKUP,VLOOKUP: Lookup and reference:Looks in the first column of an array and moves across the row to return the value of a cell
VSTACK,VSTACK: Look and reference:Appends arrays vertically and in sequence to return a larger array
WEBSERVICE,WEBSERVICE: Web:Returns data from a web service.This function is not available in Excel for the web.
WEEKDAY,WEEKDAY: Date and time:Converts a serial number to a day of the week
WEEKNUM,WEEKNUM: Date and time:Converts a serial number to a number representing where the week falls numerically with a year
WEIBULL,"WEIBULL: Compatibility:Calculates variance based on the entire population, including numbers, text, and logical values"
WEIBULL.DIST,WEIBULL.DIST: Statistical:Returns the Weibull distribution
WORKDAY,WORKDAY: Date and time:Returns the serial number of the date before or after a specified number of workdays
WORKDAY.INTL,WORKDAY.INTL: Date and time:Returns the serial number of the date before or after a specified number of workdays using parameters to indicate which and how many days are weekend days
WRAPCOLS,WRAPCOLS: Look and reference:Wraps the provided row or column of values by columns after a specified number of elements
WRAPROWS,WRAPROWS: Look and reference:Wraps the provided row or column of values by rows after a specified number of elements
XIRR,XIRR: Financial:Returns the internal rate of return for a schedule of cash flows that is not necessarily periodic
XLOOKUP,"XLOOKUP: Lookup and reference:Searches a range or an array, and returns an item corresponding to the first match it finds. If a match doesn't exist, then XLOOKUP can return the closest (approximate) match."
XMATCH,XMATCH: Lookup and reference:Returns the relative position of an item in an array or range of cells.
XNPV,XNPV: Financial:Returns the net present value for a schedule of cash flows that is not necessarily periodic
XOR,XOR: Logical:Returns a logical exclusive OR of all arguments
YEAR,YEAR: Date and time:Converts a serial number to a year
YEARFRAC,YEARFRAC: Date and time:Returns the year fraction representing the number of whole days between start_date and end_date
YIELD,YIELD: Financial:Returns the yield on a security that pays periodic interest
YIELDDISC,"YIELDDISC: Financial:Returns the annual yield for a discounted security; for example, a Treasury bill"
YIELDMAT,YIELDMAT: Financial:Returns the annual yield of a security that pays interest at maturity
Z.TEST,Z.TEST: Statistical:Returns the one-tailed probability-value of a z-test
ZTEST,ZTEST: Compatibility:Returns the one-tailed probability-value of a z-test
